"id","created_at","created_by","campus","slug","name","aka","geoloc","type","image_url","description","address","postal_code","state","city","departments","rooms","country","last_updated_at","last_updated_by"
1829,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"06-500g",Casa Zapata,"{06-500g,""Casa Zapata"",""Stern - Zapata"",""Stern, Casa Zapata"",Zapata,Zap}","{""lat"": 37.42382447, ""lon"": -122.16551556}","{""""}","","","618 Escondido Road, Zapata",94305,CA,Stanford,"{""""}","{""""}",US,,
1830,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"06-500h",Burbank,"{06-500h,Burbank,""Stern - Burbank"",""Stern, Burbank""}","{""lat"": 37.42411683, ""lon"": -122.165241}","{""""}","","","618 Escondido Road, Burbank",94305,CA,Stanford,"{""""}","{""""}",US,,
1927,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"09-150","",{09-150},"{""lat"": 37.42799991, ""lon"": -122.15751286}","{""""}","","","357 Bonair Siding",94305,CA,Stanford,"{""""}","{""""}",US,,
1831,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"06-700","Casper, Kimball","{06-700,""Casper, Kimball"",""Kimball Hall"",Kimballseminarroom,""Manzanita, Kimball"",""Thomas D. Dee Ii Family Room""}","{""lat"": 37.42504203, ""lon"": -122.16186218}","{""""}","","","673 Escondido Road",94305,CA,Stanford,"{""""}","{""""}",US,,
1832,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"06-640",Highland Hall,"{06-640,""Highland Hall"",""New Gsb Residency""}","{""lat"": 37.427055, ""lon"": -122.163458}","{""""}","","","650 Serra Street",94305,CA,Stanford,"{""""}","{""""}",US,,
1833,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"06-715","Casper, Ng","{06-715,""Casper, Ng"",""Gerhard Casper Humanities Theme"",""Humanities House"",""Manzanita Undergrad Residence"",""Manzanita, Humanities Theme"",""Ng House""}","{""lat"": 37.42595814, ""lon"": -122.16159594}","{""""}","","","684 Serra Street",94305,CA,Stanford,"{""""}","{""""}",US,,
1834,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"06-710","Casper, Dining Commons","{06-710,""Casper, Dining Commons"",""Gerhard Casper Dining Commons"",""Housing Front Desk At Gerhard Casper Quad"",""Kimball Dining"",Kimball,""Manzanita Dining Commons"",""Manzanita Dining"",Manzanita,""Manzanita, Dining""}","{""lat"": 37.42560928, ""lon"": -122.16195782}","{""""}","","","661 Escondido Road",94305,CA,Stanford,"{""""}","{""""}",US,,
1835,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"06-740","Casper, Lantana","{06-740,""Casper, Lantana"",""Gerhard Casper Lantana"",Lantana,Lantanalounge,""Manzanita, Lantana""}","{""lat"": 37.42569027, ""lon"": -122.16073359}","{""""}","","","750 Campus Drive",94305,CA,Stanford,"{""""}","{""""}",US,,
1836,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"06-720","Casper, Castano","{06-720,""Casper, Castano"",Castano,""Gerhard Casper Castano"",""Manzanita, Castano""}","{""lat"": 37.42507487, ""lon"": -122.16094005}","{""""}","","","685 Escondido Road",94305,CA,Stanford,"{""""}","{""""}",US,,
1837,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"06-730",Casper - Lantana/Castano Commons,"{06-730,""Casper - Lantana/Castano Commons"",""Casper, Lantana/Castano Commons"",""Gerhard Casper Lantana/Castano Commons"",""Lantana And Castano Commons"",""Manz Share"",""Manzanita - Lantana/Castano Commons"",""Manzanita Share Building"",""Manzanita, Lantana/Castano Commons""}","{""lat"": 37.42536956, ""lon"": -122.16077579}","{""""}","","","752 Campus Drive",94305,CA,Stanford,"{""""}","{""""}",US,,
1838,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"06-750b",Gsb Learning Center,"{06-750b,""Gsb Learning Center"",""Rosenberg Lounge"",""Schwab Cnt"",""Schwab Res Ctr - Building B"",""Schwab Residential Center Building B""}","{""lat"": 37.42648463, ""lon"": -122.16207803}","{""""}","","","680 Serra Street, Building B",94305,CA,Stanford,"{""""}","{""""}",US,,
1840,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"06-750d",Schwab Res Ctr - Cemex Building,"{06-750d,""Schwab Res Ctr - Cemex Building"",""Schwab Residential Cntr Cemex Building"",""Schwab, Cemex""}","{""lat"": 37.4267549, ""lon"": -122.16245145}","{""""}","","","680 Serra Street, Cemex Building",94305,CA,Stanford,"{""""}","{""""}",US,,
1841,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"06-750c",Schwab Res Ctr - Tower Building,"{06-750c,""Schwab Res Ctr - Tower Building"",""Schwab Residential Cntr Tower Building""}","{""lat"": 37.42683338, ""lon"": -122.16194937}","{""""}","","","680 Serra Street, Tower Building",94305,CA,Stanford,"{""""}","{""""}",US,,
1842,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"07-025",Parking Structure 1,"{07-025,""Parking Structure 1"",""Ps 1"",""Roth Prkng"",""Roth Way Garage"",Roth}","{""lat"": 37.43288412, ""lon"": -122.17244242}","{""""}","","","345 Campus Drive",94305,CA,Stanford,"{""""}","{""""}",US,,
1843,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"06-750f",The Gsb Common,"{06-750f,""The Gsb Common""}","{""lat"": 37.42631451, ""lon"": -122.1626805}","{""""}","","","680 Serra Street, Event Center",94305,CA,Stanford,"{""""}","{""""}",US,,
1844,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"06-750e",Schwab Executive Dining,"{06-750e,""Schwab Executive Dining"",""Schwab Res Ctr - Vidalakis Dining"",""Schwab Residential Cntr - Vidalakis"",""Vidalakis Dining""}","{""lat"": 37.42616259, ""lon"": -122.16225188}","{""""}","","","680 Serra Street, Vidalakis Building",94305,CA,Stanford,"{""""}","{""""}",US,,
1894,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"08-025",Encina Tennis Court And Bleachers,"{08-025,""Encina Tennis Court And Bleachers"",""Tennis Courts.""}","{""lat"": 37.42948545, ""lon"": -122.1628202}","{""""}","","","638 Campus Drive",94305,CA,Stanford,"{""""}","{""""}",US,,
1845,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,"07-090",Art And Architecture Library,"{07-090,""Art And Architecture Library"",""Art Library"",Art350,Art360,""Mcmurtry Building Rm 370"",""Mcmurtry Building"",Mcmurtry,""Oshman Hall"",Oshman,""Sci, Math,Eng Resource Grp Ops"",""Science And Engineering Resource Group Operations""}","{""lat"": 37.43254639, ""lon"": -122.17172275}","{""""}","","","355 Roth Way",94305,CA,Stanford,"{""""}","{""""}",US,,
2418,2022-11-13 21:46:34.220 -0800,"755fef54-e911-4c44-bfa4-4580721203a5",1,toyon,Toyon,{Toyon},"{""lat"": 37.426073, ""lon"": -122.1638}","{""""}","","","",94305,CA,Stanford,"{""""}","{""""}",US,,
