id,created_at,created_by,last_updated_at,last_updated_by,campus,slug,name,aka,geoloc,type,image_url,description,address,postal_code,state,city,departments,rooms,country
2026,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-071,escondido village ii - unit 71,"{""10-071"",""escondido village ii - unit 71"",""escondido village, building 071"",""ev unit-71""}","{""lat"":37.42842871,""lon"":-122.15186967}",,,,71 barnes courts,94305,CA,Stanford,,,US
2027,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-072,escondido village ii - unit 72,"{""10-072"",""escondido village ii - unit 72"",""escondido village, building 072"",""ev unit-72""}","{""lat"":37.42820193,""lon"":-122.15223694}",,,,72 barnes courts,94305,CA,Stanford,,,US
2028,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-073,escondido village ii - unit 73,"{""10-073"",""escondido village ii - unit 73"",""escondido village, building 073"",""ev unit-73""}","{""lat"":37.42779471,""lon"":-122.15235742}",,,,73 barnes courts,94305,CA,Stanford,,,US
2029,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-074,escondido ii midrise-barnes,"{""10-074"",""escondido ii midrise-barnes"",""escondido village, barnes""}","{""lat"":37.42742198,""lon"":-122.15258491}",,,,74 barnes courts,94305,CA,Stanford,,,US
2030,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-075,escondido village ii - unit 75,"{""10-075"",""escondido village ii - unit 75"",""escondido village, building 075"",""ev unit-75""}","{""lat"":37.42781012,""lon"":-122.15321854}",,,,75 barnes courts,94305,CA,Stanford,,,US
2031,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-076,escondido village ii - unit 76,"{""10-076"",""escondido village ii - unit 76"",""escondido village, building 076"",""ev unit-76""}","{""lat"":37.42831468,""lon"":-122.15292712}",,,,76 barnes courts,94305,CA,Stanford,,,US
2032,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-077,escondido village ii - unit 77,"{""10-077"",""escondido village ii - unit 77"",""escondido village, building 077"",""ev unit-77""}","{""lat"":37.42871819,""lon"":-122.15246984}",,,,77 barnes courts,94305,CA,Stanford,,,US
2033,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-078,escondido village ii - unit 78,"{""10-078"",""escondido village ii - unit 78"",""escondido village, building 078"",""ev unit-78""}","{""lat"":37.42909612,""lon"":-122.15240198}",,,,78 barnes courts,94305,CA,Stanford,,,US
2034,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-079,escondido village ii - unit 79,"{""10-079"",""escondido village ii - unit 79"",""escondido village, building 079"",""ev unit-79""}","{""lat"":37.42926174,""lon"":-122.15283942}",,,,79 olmsted road,94305,CA,Stanford,,,US
2035,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-081,escondido village ii - unit 81,"{""10-081"",""escondido village ii - unit 81"",""escondido village, building 081"",""ev unit-81""}","{""lat"":37.42911704,""lon"":-122.15355394}",,,,81 olmsted road,94305,CA,Stanford,,,US
2036,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-080,escondido village ii - unit 80,"{""10-080"",""escondido village ii - unit 80"",""escondido village, building 080"",""ev unit-80""}","{""lat"":37.4289026,""lon"":-122.15324538}",,,,80 olmsted road,94305,CA,Stanford,,,US
2037,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-082,escondido village ii - unit 82,"{""10-082"",""escondido village ii - unit 82"",""escondido village, building 082"",""ev unit-82""}","{""lat"":37.42928118,""lon"":-122.15397987}",,,,82 olmsted road,94305,CA,Stanford,,,US
2038,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-083,escondido village ii - unit 83,"{""10-083"",""escondido village ii - unit 83"",""escondido village, building 083"",""ev unit-83""}","{""lat"":37.42907041,""lon"":-122.15439012}",,,,83 olmsted road,94305,CA,Stanford,,,US
2039,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-084,escondido village ii - unit 84,"{""10-084"",""escondido village ii - unit 84"",""escondido village, building 084"",""ev unit-84"",""hulme""}","{""lat"":37.4287417,""lon"":-122.15459148}",,,,84 hulme courts,94305,CA,Stanford,,,US
2040,2022-11-14 05:46:34.220898+00,755fef54-e911-4c44-bfa4-4580721203a5,,,1,10-085,escondido village ii - unit 85,"{""10-085"",""escondido village ii - unit 85"",""escondido village, building 085"",""ev unit-85""}","{""lat"":37.42859438,""lon"":-122.15408644}",,,,85 hulme courts,94305,CA,Stanford,,,US
